state,city,name,type,distance from airport,distance from bus stand,distance from railway station,rating,no of rating,best month to visit,famous activities,prefer for friends,prefer for couple,prefer for family with children,prefer for family without children,famous activities with rating,image
Manipur,Imphal,Bara Bazaar,Market,,,,4.5,7000,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.6, 'Local Food': 4.4, 'Culture': 4.5}",Bara_Bazaar_Imphal_Manipur1744828228969.webp
Manipur,Imphal,Paona Brajabasi Park,Park,,,,4.3,7250,October/November/December,Relaxation/Picnic/Nature,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.4, 'Picnic': 4.2, 'Nature': 4.3}",Paona_Brajabasi_Park_Imphal_Manipur1744828237639.webp
Manipur,Imphal,Mahabali Temple,Religious Site,,,,4.6,7500,October/November/December,Prayer/Culture/Architecture,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.7, 'Culture': 4.5, 'Architecture': 4.6}",Mahabali_Temple_Imphal_Manipur1744828245851.webp
Manipur,Imphal,Kangla Menbi Garden,Garden,,,,4.4,7750,October/November/December,Relaxation/Nature/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.5, 'Nature': 4.3, 'Sightseeing': 4.4}",Kangla_Menbi_Garden_Imphal_Manipur1744828254405.webp
Manipur,Imphal,Nupi Lan Memorial Complex,Historical Site,,,,4.2,8000,October/November/December,History/Culture/Remembrance,TRUE,TRUE,TRUE,TRUE,"{'History': 4.3, 'Culture': 4.1, 'Remembrance': 4.2}",Nupi_Lan_Memorial_Complex_Imphal_Manipur1744828262868.webp
Manipur,Imphal,Heingang Ching,Hill,,,,4.5,8250,October/November/December,Trekking/Sightseeing/Nature,TRUE,FALSE,TRUE,TRUE,"{'Trekking': 4.6, 'Sightseeing': 4.4, 'Nature': 4.5}",Heingang_Ching_Imphal_Manipur1744828271712.webp
Manipur,Imphal,Lamlai,Village,,,,4.3,8500,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.4, 'Local Life': 4.2, 'Nature': 4.3}",Lamlai_Imphal_Manipur1744828279981.webp
Manipur,Imphal,Yaingangpokpi,Village,,,,4.6,8750,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.7, 'Local Life': 4.5, 'Nature': 4.6}",Yaingangpokpi_Imphal_Manipur1744828288832.webp
Manipur,Imphal,Mayangkhang Ching,Hill,,,,4.4,9000,October/November/December,Trekking/Sightseeing/Nature,TRUE,FALSE,TRUE,TRUE,"{'Trekking': 4.5, 'Sightseeing': 4.3, 'Nature': 4.4}",Mayangkhang_Ching_Imphal_Manipur1744828296309.webp
Manipur,Imphal,Thanga Karang Island,Island,,,,4.2,9250,October/November/December,Boating/Picnic/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.3, 'Picnic': 4.1, 'Sightseeing': 4.2}",Thanga_Karang_Island_Imphal_Manipur1744828304204.webp
Manipur,Imphal,Ikop Pat,Lake,,,,4.5,9500,October/November/December,Sightseeing/Relaxation/Nature,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.6, 'Relaxation': 4.4, 'Nature': 4.5}",Ikop_Pat_Imphal_Manipur1744828312564.webp
Manipur,Imphal,Lousi Pat,Lake,,,,4.3,9750,October/November/December,Sightseeing/Relaxation/Nature,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.4, 'Relaxation': 4.2, 'Nature': 4.3}",Lousi_Pat_Imphal_Manipur1744828321054.webp
Manipur,Imphal,Pumlen Pat,Lake,,,,4.6,10000,October/November/December,Sightseeing/Relaxation/Nature,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.7, 'Relaxation': 4.5, 'Nature': 4.6}",Pumlen_Pat_Imphal_Manipur1744828329743.webp
Manipur,Imphal,Utra Sanglen,Park,,,,4.4,10250,October/November/December,Relaxation/Picnic/Nature,TRUE,TRUE,TRUE,TRUE,"{'Relaxation': 4.5, 'Picnic': 4.3, 'Nature': 4.4}",
Manipur,Imphal,Sadu Chiru Waterfalls,Waterfall,,,,4.2,10500,October/November/December,Sightseeing/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.3, 'Nature': 4.1, 'Photography': 4.2}",Sadu_Chiru_Waterfalls_Imphal_Manipur1744828345728.webp
Manipur,Imphal,Khangdoi Waterfalls,Waterfall,,,,4.5,10750,October/November/December,Sightseeing/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.6, 'Nature': 4.4, 'Photography': 4.5}",Khangdoi_Waterfalls_Imphal_Manipur1744828353356.webp
Manipur,Imphal,Leimaram Waterfalls,Waterfall,,,,4.3,11000,October/November/December,Sightseeing/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.4, 'Nature': 4.2, 'Photography': 4.3}",Leimaram_Waterfalls_Imphal_Manipur1744828361625.webp
Manipur,Imphal,Nillai Tea Estate,Tea Garden,,,,4.6,11250,October/November/December,Sightseeing/Nature/Tea Tasting,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.7, 'Nature': 4.5, 'Tea Tasting': 4.6}",Nillai_Tea_Estate_Imphal_Manipur1744828370148.webp
Manipur,Imphal,Thanil Tea Estate,Tea Garden,,,,4.4,11500,October/November/December,Sightseeing/Nature/Tea Tasting,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.5, 'Nature': 4.3, 'Tea Tasting': 4.4}",
Manipur,Imphal,Dwarahat,Village,,,,4.2,11750,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.3, 'Local Life': 4.1, 'Nature': 4.2}",Dwarahat_Imphal_Manipur1744828387489.webp
Manipur,Imphal,Pallel,Town,,,,4.5,12000,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.6, 'Local Food': 4.4, 'Culture': 4.5}",Pallel_Imphal_Manipur1744828395734.webp
Manipur,Imphal,Kakching,Town,,,,4.3,12250,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.4, 'Local Food': 4.2, 'Culture': 4.3}",Kakching_Imphal_Manipur1744828404552.webp
Manipur,Imphal,Sugnu,Town,,,,4.6,12500,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.7, 'Local Food': 4.5, 'Culture': 4.6}",Sugnu_Imphal_Manipur1744828413148.webp
Manipur,Imphal,Chandel,Town,,,,4.4,12750,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.5, 'Local Food': 4.3, 'Culture': 4.4}",Chandel_Imphal_Manipur1744828421682.webp
Manipur,Imphal,Molcham,Village,,,,4.2,13000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.3, 'Local Life': 4.1, 'Nature': 4.2}",
Manipur,Imphal,Toupokpi,Village,,,,4.5,13250,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.6, 'Local Life': 4.4, 'Nature': 4.5}",Toupokpi_Imphal_Manipur1744828437150.webp
Manipur,Imphal,Chingarel Peak,Mountain Peak,,,,4.3,13500,October/November/December,Trekking/Sightseeing/Photography,TRUE,FALSE,TRUE,TRUE,"{'Trekking': 4.4, 'Sightseeing': 4.2, 'Photography': 4.3}",Chingarel_Peak_Imphal_Manipur1744828445765.webp
Manipur,Imphal,Mount Koubru,Mountain Peak,,,,4.6,13750,October/November/December,Trekking/Sightseeing/Photography,TRUE,FALSE,TRUE,TRUE,"{'Trekking': 4.7, 'Sightseeing': 4.5, 'Photography': 4.6}",Mount_Koubru_Imphal_Manipur1744828454548.webp
Manipur,Imphal,Mount Esii,Mountain Peak,,,,4.4,14000,October/November/December,Trekking/Sightseeing/Photography,TRUE,FALSE,TRUE,TRUE,"{'Trekking': 4.5, 'Sightseeing': 4.3, 'Photography': 4.4}",Mount_Esii_Imphal_Manipur1744828463359.webp
Manipur,Imphal,Mount Manipur,Mountain Peak,,,,4.2,14250,October/November/December,Trekking/Sightseeing/Photography,TRUE,FALSE,TRUE,TRUE,"{'Trekking': 4.3, 'Sightseeing': 4.1, 'Photography': 4.2}",Mount_Manipur_Imphal_Manipur1744828472318.webp
Manipur,Imphal,Mao Gate,Border Town,,,,4.5,14500,October/November/December,Shopping/Culture/International Border,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.6, 'Culture': 4.4, 'International Border': 4.5}",Mao_Gate_Imphal_Manipur1744828480829.webp
Manipur,Imphal,Jessami,Village,,,,4.3,14750,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.4, 'Local Life': 4.2, 'Nature': 4.3}",Jessami_Imphal_Manipur1744828489885.webp
Manipur,Imphal,Purul,Village,,,,4.6,15000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.7, 'Local Life': 4.5, 'Nature': 4.6}",Purul_Imphal_Manipur1744828499223.webp
Manipur,Imphal,Litan,Village,,,,4.4,15250,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.5, 'Local Life': 4.3, 'Nature': 4.4}",Litan_Imphal_Manipur1744828507662.webp
Manipur,Imphal,Nungba,Village,,,,4.2,15500,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.3, 'Local Life': 4.1, 'Nature': 4.2}",
Manipur,Imphal,Longmai,Village,,,,4.5,15750,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.6, 'Local Life': 4.4, 'Nature': 4.5}",Longmai_Imphal_Manipur1744828523782.webp
Manipur,Imphal,Tamei,Village,,,,4.3,16000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.4, 'Local Life': 4.2, 'Nature': 4.3}",
Manipur,Imphal,Tousem,Village,,,,4.6,16250,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.7, 'Local Life': 4.5, 'Nature': 4.6}",Tousem_Imphal_Manipur1744828541091.webp
Manipur,Imphal,Tipaimukh,Town,,,,4.4,16500,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.5, 'Local Food': 4.3, 'Culture': 4.4}",Tipaimukh_Imphal_Manipur1744828550790.webp
Manipur,Imphal,Parbung,Village,,,,4.2,16750,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.3, 'Local Life': 4.1, 'Nature': 4.2}",Parbung_Imphal_Manipur1744828560008.webp
Manipur,Imphal,Thanlon,Village,,,,4.5,17000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.6, 'Local Life': 4.4, 'Nature': 4.5}",Thanlon_Imphal_Manipur1744828569214.webp
Manipur,Imphal,Singhat,Village,,,,4.3,17250,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.4, 'Local Life': 4.2, 'Nature': 4.3}",Singhat_Imphal_Manipur1744828577755.webp
Manipur,Imphal,Behiang,Village,,,,4.6,17500,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.7, 'Local Life': 4.5, 'Nature': 4.6}",Behiang_Imphal_Manipur1744828586519.webp
Manipur,Imphal,Saikot,Village,,,,4.4,17750,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.5, 'Local Life': 4.3, 'Nature': 4.4}",Saikot_Imphal_Manipur1744828623220.webp
Manipur,Imphal,Henglep,Village,,,,4.2,18000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.3, 'Local Life': 4.1, 'Nature': 4.2}",Henglep_Imphal_Manipur1744828662301.webp
Manipur,Imphal,Tuibuong,Village,,,,4.5,18250,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.6, 'Local Life': 4.4, 'Nature': 4.5}",Tuibuong_Imphal_Manipur1744828699784.webp
Manipur,Imphal,Singjamei,Town,,,,4.3,18500,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.4, 'Local Food': 4.2, 'Culture': 4.3}",Singjamei_Imphal_Manipur1744828737813.webp
Manipur,Imphal,Uripok,Town,,,,4.6,18750,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.7, 'Local Food': 4.5, 'Culture': 4.6}",Uripok_Imphal_Manipur1744828748463.webp
Manipur,Imphal,Sagolband,Town,,,,4.4,19000,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.5, 'Local Food': 4.3, 'Culture': 4.4}",Sagolband_Imphal_Manipur1744828758307.webp
Manipur,Imphal,Khuman Lampak Sports Complex,Sports Complex,,,,4.2,19250,October/November/December,Sports/Recreation/Events,TRUE,TRUE,TRUE,TRUE,"{'Sports': 4.3, 'Recreation': 4.1, 'Events': 4.2}",Khuman_Lampak_Sports_Complex_Imphal_Manipur1744828768164.webp
Manipur,Imphal,Mapal Kangjeibung,Polo Ground,,,,4.5,19500,October/November/December,Polo/History/Culture,TRUE,TRUE,TRUE,TRUE,"{'Polo': 4.6, 'History': 4.4, 'Culture': 4.5}",Mapal_Kangjeibung_Imphal_Manipur1744828775999.webp
Manipur,Imphal,Hiyangthang Lairembi Temple,Religious Site,,,,4.3,19750,October/November/December,Prayer/Culture/Architecture,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.4, 'Culture': 4.2, 'Architecture': 4.3}",Hiyangthang_Lairembi_Temple_Imphal_Manipur1744828783437.webp
Manipur,Imphal,Sekmai,Town,,,,4.6,20000,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.7, 'Local Food': 4.5, 'Culture': 4.6}",
Manipur,Imphal,Heirok,Village,,,,4.4,20250,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.5, 'Local Life': 4.3, 'Nature': 4.4}",Heirok_Imphal_Manipur1744828799957.webp
Manipur,Imphal,Lilong,Town,,,,4.2,20500,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.3, 'Local Food': 4.1, 'Culture': 4.2}",Lilong_Imphal_Manipur1744828807915.webp
Manipur,Imphal,Wangjing,Town,,,,4.5,20750,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.6, 'Local Food': 4.4, 'Culture': 4.5}",Wangjing_Imphal_Manipur1744828816657.webp
Manipur,Imphal,Thoubal Bazaar,Market,,,,4.3,21000,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.4, 'Local Food': 4.2, 'Culture': 4.3}",Thoubal_Bazaar_Imphal_Manipur1744828824771.webp
Manipur,Imphal,Yairipok,Town,,,,4.6,21250,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.7, 'Local Food': 4.5, 'Culture': 4.6}",Yairipok_Imphal_Manipur1744828832815.webp
Manipur,Imphal,Kakching Khunou,Village,,,,4.4,21500,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.5, 'Local Life': 4.3, 'Nature': 4.4}",Kakching_Khunou_Imphal_Manipur1744828842212.webp
Manipur,Imphal,Waikhong,Village,,,,4.2,21750,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.3, 'Local Life': 4.1, 'Nature': 4.2}",Waikhong_Imphal_Manipur1744828850633.webp
Manipur,Imphal,Pallel Bazaar,Market,,,,4.5,22000,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.6, 'Local Food': 4.4, 'Culture': 4.5}",Pallel_Bazaar_Imphal_Manipur1744828859450.webp
Manipur,Imphal,Moreh Bazaar,Market,,,,4.3,22250,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.4, 'Local Food': 4.2, 'Culture': 4.3}",Moreh_Bazaar_Imphal_Manipur1744828868620.webp
Manipur,Imphal,Chandel Christian Church,Religious Site,,,,4.6,22500,October/November/December,Prayer/Architecture/Peace,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.7, 'Architecture': 4.5, 'Peace': 4.6}",Chandel_Christian_Church_Imphal_Manipur1744828877090.webp
Manipur,Imphal,Komlakhong,Village,,,,4.4,22750,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.5, 'Local Life': 4.3, 'Nature': 4.4}",Komlakhong_Imphal_Manipur1744828885056.webp
Manipur,Imphal,Machui,Village,,,,4.2,23000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.3, 'Local Life': 4.1, 'Nature': 4.2}",Machui_Imphal_Manipur1744828893421.webp
Manipur,Imphal,Tungjoy,Village,,,,4.5,23250,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.6, 'Local Life': 4.4, 'Nature': 4.5}",Tungjoy_Imphal_Manipur1744828902119.webp
Manipur,Imphal,Maram,Village,,,,4.3,23500,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.4, 'Local Life': 4.2, 'Nature': 4.3}",
Manipur,Imphal,Senapati Bazaar,Market,,,,4.6,23750,October/November/December,Shopping/Local Food/Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.7, 'Local Food': 4.5, 'Culture': 4.6}",Senapati_Bazaar_Imphal_Manipur1744828918796.webp
Manipur,Imphal,Karong,Village,,,,4.4,24000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.5, 'Local Life': 4.3, 'Nature': 4.4}",Karong_Imphal_Manipur1744828927881.webp
Manipur,Imphal,Mao Christian Church,Religious Site,,,,4.2,24250,October/November/December,Prayer/Architecture/Peace,TRUE,TRUE,TRUE,TRUE,"{'Prayer': 4.3, 'Architecture': 4.1, 'Peace': 4.2}",Mao_Christian_Church_Imphal_Manipur1744828937403.webp
Manipur,Imphal,Tadubi,Village,,,,4.5,24500,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.6, 'Local Life': 4.4, 'Nature': 4.5}",Tadubi_Imphal_Manipur1744828946151.webp
Manipur,Imphal,Makhel Cave,Cave,,,,4.3,24750,November/December/January,Exploration/Adventure/Photography,TRUE,FALSE,TRUE,TRUE,"{'Exploration': 4.4, 'Adventure': 4.2, 'Photography': 4.3}",Makhel_Cave_Imphal_Manipur1744828954858.webp
Manipur,Imphal,Yangkhullen,Village,,,,4.6,25000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.7, 'Local Life': 4.5, 'Nature': 4.6}",Yangkhullen_Imphal_Manipur1744828963107.webp
Manipur,Imphal,Liyai Khullen,Village,,,,4.4,25250,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.5, 'Local Life': 4.3, 'Nature': 4.4}",
Manipur,Imphal,Phizo,Village,,,,4.2,25500,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.3, 'Local Life': 4.1, 'Nature': 4.2}",
Manipur,Imphal,Phaibung Khullen,Village,,,,4.5,25750,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.6, 'Local Life': 4.4, 'Nature': 4.5}",Phaibung_Khullen_Imphal_Manipur1744828987964.webp
Manipur,Imphal,Lukhambi,Village,,,,4.3,26000,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.4, 'Local Life': 4.2, 'Nature': 4.3}",Lukhambi_Imphal_Manipur1744828995917.webp
Manipur,Imphal,Songsong,Village,,,,4.6,26250,October/November/December,Culture/Local Life/Nature,TRUE,TRUE,TRUE,TRUE,"{'Culture': 4.7, 'Local Life': 4.5, 'Nature': 4.6}",Songsong_Imphal_Manipur1744829003933.webp
Meghalaya,Shillong,Umiam Lake,Lake,35,10,,4.5,1200,March/April/May,Boating/Kayaking/Picnicking,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.6, 'Kayaking': 4.4, 'Picnicking': 4.3}",Umiam_Lake_Shillong_Meghalaya1744829012868.webp
Meghalaya,Shillong,Elephant Falls,Waterfall,30,8,,4.2,850,September/October/November,Trekking/Photography/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.3, 'Photography': 4.5, 'Nature Walks': 4.1}",Elephant_Falls_Shillong_Meghalaya1744829020802.webp
Meghalaya,Shillong,Don Bosco Museum,Museum,32,7,,4.6,980,March/April/May,History/Culture/Exhibits,TRUE,TRUE,TRUE,TRUE,"{'History': 4.7, 'Culture': 4.5, 'Exhibits': 4.4}",Don_Bosco_Museum_Shillong_Meghalaya1744829029410.webp
Meghalaya,Shillong,Ward's Lake,Lake,33,9,,4.3,720,March/April/May,Boating/Walking/Feeding Fish,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.4, 'Walking': 4.2, 'Feeding Fish': 4.3}",Ward's_Lake_Shillong_Meghalaya1744829037476.webp
Meghalaya,Shillong,Laitlum Canyons,Viewpoint,40,15,,4.7,600,September/October/November,Trekking/Photography/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Photography': 4.6, 'Scenic Views': 4.7}",Laitlum_Canyons_Shillong_Meghalaya1744829046345.webp
Meghalaya,Cherrapunjee,Nohkalikai Falls,Waterfall,90,5,,4.4,1100,September/October/November,Trekking/Photography/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.5, 'Photography': 4.6, 'Scenic Views': 4.3}",Nohkalikai_Falls_Cherrapunjee_Meghalaya1744829055701.webp
Meghalaya,Cherrapunjee,Mawsmai Cave,Cave,95,7,,4.3,920,November/December/January,Exploring/Caving/Photography,TRUE,TRUE,TRUE,TRUE,"{'Exploring': 4.4, 'Caving': 4.2, 'Photography': 4.3}",
Meghalaya,Cherrapunjee,Seven Sisters Falls,Waterfall,92,6,,4.5,880,September/October/November,Photography/Scenic Views/Nature,TRUE,TRUE,TRUE,TRUE,"{'Photography': 4.6, 'Scenic Views': 4.4, 'Nature': 4.5}",Seven_Sisters_Falls_Cherrapunjee_Meghalaya1744829070712.webp
Meghalaya,Cherrapunjee,Thangkharang Park,Park,93,8,,4.2,750,March/April/May,Gardens/Viewpoint/Photography,TRUE,TRUE,TRUE,TRUE,"{'Gardens': 4.3, 'Viewpoint': 4.1, 'Photography': 4.2}",Thangkharang_Park_Cherrapunjee_Meghalaya1744829079289.webp
Meghalaya,Cherrapunjee,Double Decker Living Root Bridge,Bridge,100,10,,4.6,1050,November/December/January,Trekking/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.7, 'Nature': 4.5, 'Photography': 4.6}",Double_Decker_Living_Root_Bridge_Cherrapunjee_Meghalaya1744829087843.webp
Meghalaya,Mawlynnong,Living Root Bridge,Bridge,120,15,,4.5,900,November/December/January,Trekking/Nature/Photography,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.6, 'Nature': 4.4, 'Photography': 4.5}",Living_Root_Bridge_Mawlynnong_Meghalaya1744829095683.webp
Meghalaya,Mawlynnong,Mawlynnong Waterfall,Waterfall,125,17,,4.3,780,September/October/November,Photography/Nature/Relaxation,TRUE,TRUE,TRUE,TRUE,"{'Photography': 4.4, 'Nature': 4.2, 'Relaxation': 4.3}",
Meghalaya,Mawlynnong,Balancing Rock,Rock Formation,122,16,,4.2,650,March/April/May,Photography/Nature/Unique,TRUE,TRUE,TRUE,TRUE,"{'Photography': 4.3, 'Nature': 4.1, 'Unique': 4.2}",Balancing_Rock_Mawlynnong_Meghalaya1744829105083.webp
Meghalaya,Jowai,Krang Suri Falls,Waterfall,60,20,,4.6,800,September/October/November,Swimming/Photography/Nature,TRUE,TRUE,TRUE,TRUE,"{'Swimming': 4.7, 'Photography': 4.5, 'Nature': 4.6}",Krang_Suri_Falls_Jowai_Meghalaya1744829113180.webp
Meghalaya,Jowai,Syntu Ksiar,Picnic Spot,65,22,,4.3,700,March/April/May,Picnicking/Relaxation/Nature,TRUE,TRUE,TRUE,TRUE,"{'Picnicking': 4.4, 'Relaxation': 4.2, 'Nature': 4.3}",Syntu_Ksiar_Jowai_Meghalaya1744829121550.webp
Meghalaya,Tura,Nokrek National Park,National Park,30,10,,4.4,550,October/November/December,Wildlife/Trekking/Nature,TRUE,TRUE,TRUE,TRUE,"{'Wildlife': 4.5, 'Trekking': 4.3, 'Nature': 4.4}",Nokrek_National_Park_Tura_Meghalaya1744829130044.webp
Meghalaya,Tura,Siju Cave,Cave,40,15,,4.2,480,November/December/January,Exploring/Caving/Photography,TRUE,TRUE,TRUE,TRUE,"{'Exploring': 4.3, 'Caving': 4.1, 'Photography': 4.2}",Siju_Cave_Tura_Meghalaya1744829138339.webp
Meghalaya,Williamnagar,Simsang River,River,50,20,,4.3,400,March/April/May,Boating/Fishing/Relaxation,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.4, 'Fishing': 4.2, 'Relaxation': 4.3}",Simsang_River_Williamnagar_Meghalaya1744829146159.webp
Meghalaya,Baghmara,Baghmara Pitcher Plant Sanctuary,Sanctuary,60,25,,4.5,350,September/October/November,Nature/Photography/Unique Plants,TRUE,TRUE,TRUE,TRUE,"{'Nature': 4.6, 'Photography': 4.4, 'Unique Plants': 4.5}",Baghmara_Pitcher_Plant_Sanctuary_Baghmara_Meghalaya1744829154373.webp
Meghalaya,Shillong,Cathedral of Mary Help of Christians,Church,34,6,,4.7,1100,March/April/May,Religion/Architecture/Photography,TRUE,TRUE,TRUE,TRUE,"{'Religion': 4.8, 'Architecture': 4.6, 'Photography': 4.7}",Cathedral_of_Mary_Help_of_Christians_Shillong_Meghalaya1744829162139.webp
Meghalaya,Shillong,Police Bazaar,Market,32,5,,4.1,1300,March/April/May,Shopping/Food/Local Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.2, 'Food': 4.0, 'Local Culture': 4.1}",Police_Bazaar_Shillong_Meghalaya1744829170140.webp
